TAZ,Commodity,Quantity
75,Multi-Family Residential Economy,853.8888889
75,Retail Space,106.6666667
75,Single Family Detached Residential Economy,2534.888889
75,Single Family Attached Residential Economy,1806.444444
76,Multi-Family Residential Economy,853.8888889
76,Retail Space,106.6666667
76,Single Family Detached Residential Economy,2534.888889
76,Single Family Attached Residential Economy,1806.444444
77,Multi-Family Residential Economy,853.8888889
77,Retail Space,106.6666667
77,Single Family Detached Residential Economy,2534.888889
77,Single Family Attached Residential Economy,1806.444444
83,Multi-Family Residential Economy,853.8888889
83,Retail Space,106.6666667
83,Single Family Detached Residential Economy,2534.888889
83,Single Family Attached Residential Economy,1806.444444
85,Multi-Family Residential Economy,853.8888889
85,Retail Space,106.6666667
85,Single Family Detached Residential Economy,2534.888889
85,Single Family Attached Residential Economy,1806.444444
88,Multi-Family Residential Economy,853.8888889
88,Retail Space,106.6666667
88,Single Family Detached Residential Economy,2534.888889
88,Single Family Attached Residential Economy,1806.444444
92,Multi-Family Residential Economy,853.8888889
92,Retail Space,106.6666667
92,Single Family Detached Residential Economy,2534.888889
92,Single Family Attached Residential Economy,1806.444444
93,Multi-Family Residential Economy,853.8888889
93,Retail Space,106.6666667
93,Single Family Detached Residential Economy,2534.888889
93,Single Family Attached Residential Economy,1806.444444
94,Multi-Family Residential Economy,853.8888889
94,Retail Space,106.6666667
94,Single Family Detached Residential Economy,2534.888889
94,Single Family Attached Residential Economy,1806.444444
133,Single Family Detached Residential Economy,1055.333333
133,Single Family Attached Residential Economy,1844.666667
133,Single Family Detached Residential Luxury,2503.666667
135,Single Family Detached Residential Economy,1055.333333
135,Single Family Attached Residential Economy,1844.666667
135,Single Family Detached Residential Luxury,2503.666667
136,Single Family Detached Residential Economy,1055.333333
136,Single Family Attached Residential Economy,1844.666667
136,Single Family Detached Residential Luxury,2503.666667
137,Single Family Detached Residential Economy,1055.333333
137,Single Family Attached Residential Economy,1844.666667
137,Single Family Detached Residential Luxury,2503.666667
139,Single Family Detached Residential Economy,1055.333333
139,Single Family Attached Residential Economy,1844.666667
139,Single Family Detached Residential Luxury,2503.666667
141,Single Family Detached Residential Economy,1055.333333
141,Single Family Attached Residential Economy,1844.666667
141,Single Family Detached Residential Luxury,2503.666667
154,Single Family Detached Residential Economy,3194
154,Health Care Space,3450
154,Religious Space,0
154,Single Family Attached Residential Economy,9737
155,Single Family Detached Residential Economy,3194
155,Health Care Space,3450
155,Religious Space,0
155,Single Family Attached Residential Economy,9737
159,Single Family Detached Residential Economy,1236
159,Light Industrial Space,7650
160,Single Family Detached Residential Economy,1236
160,Light Industrial Space,7650
163,Religious Space,0
163,Multi-Family Residential Economy,431.7142857
163,Single Family Attached Residential Economy,1834
163,Single Family Detached Residential Economy,3400.714286
164,Religious Space,0
164,Multi-Family Residential Economy,431.7142857
164,Single Family Attached Residential Economy,1834
164,Single Family Detached Residential Economy,3400.714286
165,Religious Space,0
165,Multi-Family Residential Economy,431.7142857
165,Single Family Attached Residential Economy,1834
165,Single Family Detached Residential Economy,3400.714286
166,Religious Space,0
166,Multi-Family Residential Economy,431.7142857
166,Single Family Attached Residential Economy,1834
166,Single Family Detached Residential Economy,3400.714286
167,Religious Space,0
167,Multi-Family Residential Economy,431.7142857
167,Single Family Attached Residential Economy,1834
167,Single Family Detached Residential Economy,3400.714286
168,Religious Space,0
168,Multi-Family Residential Economy,431.7142857
168,Single Family Attached Residential Economy,1834
168,Single Family Detached Residential Economy,3400.714286
177,Religious Space,0
177,Multi-Family Residential Economy,431.7142857
177,Single Family Attached Residential Economy,1834
177,Single Family Detached Residential Economy,3400.714286
211,Retail Space,10664
211,Single Family Detached Residential Economy,21363
211,Single Family Attached Residential Economy,15866
212,Single Family Detached Residential Luxury,349
212,Single Family Detached Residential Economy,2189
212,Single Family Attached Residential Economy,4138
212,Retail Space,6140
212,Multi-Family Residential Economy,11871.33333
213,Single Family Detached Residential Luxury,349
213,Single Family Detached Residential Economy,2189
213,Single Family Attached Residential Economy,4138
213,Retail Space,6140
213,Multi-Family Residential Economy,11871.33333
217,Single Family Detached Residential Luxury,349
217,Single Family Detached Residential Economy,2189
217,Single Family Attached Residential Economy,4138
217,Retail Space,6140
217,Multi-Family Residential Economy,11871.33333
850,Single Family Attached Residential Economy,1897.5
850,Single Family Detached Residential Economy,3264.5
851,Single Family Attached Residential Economy,1897.5
851,Single Family Detached Residential Economy,3264.5
852,Single Family Attached Residential Economy,1897.5
852,Single Family Detached Residential Economy,3264.5
853,Single Family Attached Residential Economy,1897.5
853,Single Family Detached Residential Economy,3264.5
875,Single Family Detached Residential Luxury,1702.142857
876,Single Family Detached Residential Luxury,1702.142857
877,Single Family Detached Residential Luxury,1702.142857
883,Single Family Detached Residential Luxury,1702.142857
884,Single Family Detached Residential Luxury,1702.142857
886,Single Family Detached Residential Luxury,1702.142857
887,Single Family Detached Residential Luxury,1702.142857
888,Single Family Detached Residential Luxury,1702.142857
889,Single Family Detached Residential Luxury,1702.142857
890,Single Family Detached Residential Luxury,1702.142857
891,Single Family Detached Residential Luxury,1702.142857
892,Single Family Detached Residential Luxury,1702.142857
893,Single Family Detached Residential Luxury,1702.142857
894,Single Family Detached Residential Luxury,1702.142857
895,Retail Space,683.5
895,Single Family Attached Residential Economy,1569.625
895,Single Family Detached Residential Economy,1681.75
895,Multi-Family Residential Economy,2749
896,Retail Space,683.5
896,Single Family Attached Residential Economy,1569.625
896,Single Family Detached Residential Economy,1681.75
896,Multi-Family Residential Economy,2749
897,Retail Space,683.5
897,Single Family Attached Residential Economy,1569.625
897,Single Family Detached Residential Economy,1681.75
897,Multi-Family Residential Economy,2749
898,Retail Space,683.5
898,Single Family Attached Residential Economy,1569.625
898,Single Family Detached Residential Economy,1681.75
898,Multi-Family Residential Economy,2749
899,Retail Space,683.5
899,Single Family Attached Residential Economy,1569.625
899,Single Family Detached Residential Economy,1681.75
899,Multi-Family Residential Economy,2749
900,Retail Space,683.5
900,Single Family Attached Residential Economy,1569.625
900,Single Family Detached Residential Economy,1681.75
900,Multi-Family Residential Economy,2749
901,Retail Space,683.5
901,Single Family Attached Residential Economy,1569.625
901,Single Family Detached Residential Economy,1681.75
901,Multi-Family Residential Economy,2749
902,Retail Space,683.5
902,Single Family Attached Residential Economy,1569.625
902,Single Family Detached Residential Economy,1681.75
902,Multi-Family Residential Economy,2749
911,Active Park Space,30.8
911,Single Family Attached Residential Economy,707
911,Single Family Detached Residential Economy,9431.6
911,Multi-Family Residential Economy,12615.6
912,Active Park Space,30.8
912,Single Family Attached Residential Economy,707
912,Single Family Detached Residential Economy,9431.6
912,Multi-Family Residential Economy,12615.6
913,Active Park Space,30.8
913,Single Family Attached Residential Economy,707
913,Single Family Detached Residential Economy,9431.6
913,Multi-Family Residential Economy,12615.6
914,Active Park Space,30.8
914,Single Family Attached Residential Economy,707
914,Single Family Detached Residential Economy,9431.6
914,Multi-Family Residential Economy,12615.6
915,Active Park Space,30.8
915,Single Family Attached Residential Economy,707
915,Single Family Detached Residential Economy,9431.6
915,Multi-Family Residential Economy,12615.6
930,Single Family Detached Residential Economy,314
930,Health Care Space,1449
930,Retail Space,1579.166667
930,Single Family Detached Residential Luxury,146.8333333
930,Single Family Attached Residential Economy,298.6666667
930,Multi-Family Residential Economy,818.8333333
931,Single Family Detached Residential Economy,314
931,Health Care Space,1449
931,Retail Space,1579.166667
931,Single Family Detached Residential Luxury,146.8333333
931,Single Family Attached Residential Economy,298.6666667
931,Multi-Family Residential Economy,818.8333333
933,Single Family Detached Residential Economy,314
933,Health Care Space,1449
933,Retail Space,1579.166667
933,Single Family Detached Residential Luxury,146.8333333
933,Single Family Attached Residential Economy,298.6666667
933,Multi-Family Residential Economy,818.8333333
942,Single Family Detached Residential Economy,314
942,Health Care Space,1449
942,Retail Space,1579.166667
