Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
1,1,1.5,4,0,0.702,0.238,0.016,0.05,1.09,0.252,0.096
1,2,2.8,6.9,0,0.079,-0.122,-0.196,-0.019,0.823,0.164,0.003
1,3,6.1,13.4,0,-0.699,-0.545,-0.481,-0.27,0.367,-0.07,-0.295
1,4,8.5,16.9,0,-0.957,-0.708,-0.589,-0.386,0.246,-0.17,-0.43
1,5,5.8,10.5,0,-0.43,-0.412,-0.389,-0.201,0.466,0.004,-0.209
1,6,7.4,11.1,0,-0.891,-0.606,-0.467,-0.259,0.376,-0.034,-0.253
1,7,8.9,12.9,0,-0.86,-0.645,-0.523,-0.309,0.323,-0.099,-0.33
1,8,10.2,17,0,-1.108,-0.822,-0.673,-0.411,0.215,-0.225,-0.508
1,9,10.7,17.3,0,-1.241,-0.884,-0.697,-0.42,0.204,-0.232,-0.514
1,10,12,16.6,0,-1.766,-1.084,-0.79,-0.454,0.171,-0.272,-0.565
1,11,3.4,6.9,0,0.098,-0.019,-0.145,-0.034,0.863,0.153,-0.015
1,12,6.2,10.3,0,-0.66,-0.553,-0.479,-0.194,0.596,0.029,-0.199
1,13,8.1,13.7,0,-0.752,-0.609,-0.514,-0.283,0.368,0.022,-0.197
1,14,9,13,0,-1.332,-0.819,-0.605,-0.341,0.284,-0.071,-0.368
1,15,11.9,18.2,0,-1.777,-1.066,-0.774,-0.478,0.146,-0.222,-0.561
1,16,13.5,18.7,0,-2.184,-1.289,-0.909,-0.533,0.084,-0.297,-0.654
1,17,15.5,19.7,0,-1.791,-1.302,-0.976,-0.603,0.01,-0.434,-0.781
1,18,17.5,21.2,0,-2.023,-1.376,-1.005,-0.658,-0.042,-0.476,-0.843
1,19,14.2,17.5,0,-1.811,-1.168,-0.851,-0.524,0.099,-0.335,-0.655
1,20,16.1,20.9,0,-2.176,-1.402,-1.001,-0.873,-0.024,-0.497,-0.867
1,21,20.3,24,0,-2.909,-1.704,-1.191,-0.761,-0.137,-0.575,-0.97
1,22,22.2,25.6,0,-3.387,-2.007,-1.409,-0.892,-0.266,-0.717,-1.15
1,23,19.6,22.4,0,-2.334,-1.614,-1.179,-0.736,-0.114,-0.557,-0.95
1,24,23.9,27.8,0.037,-2.873,-2.038,-1.295,-0.878,-0.295,-0.715,-1.202
1,25,20.9,23.6,0,-2.323,-1.729,-1.283,-0.793,-0.175,-0.622,-1.035
1,26,21.9,25.5,0,-2.624,-1.837,-1.335,-0.848,-0.229,-0.673,-1.101
1,27,21.6,25.1,0,-2.764,-1.87,-1.355,-0.839,-0.217,-0.661,-1.085
1,28,24.2,30.3,0,-3.282,-2.122,-1.515,-0.971,-0.349,-0.794,-1.262
1,29,12.4,16,0,-2.004,-1.183,-0.84,-0.457,0.16,-0.215,-0.54
1,30,14.1,19.3,0,-2.247,-1.323,-0.938,-0.547,0.069,-0.309,-0.671
1,31,15.8,23.6,0,-2.642,-1.521,-1.075,-0.656,-0.035,-0.416,-0.813
1,32,14.9,18.1,0,-2.544,-1.482,-1.041,-0.584,0.034,-0.334,-0.706
1,33,16.9,20.1,0,-3.001,-1.818,-1.312,-0.685,-0.072,-0.428,-0.846
1,34,19.2,23.1,0,-2.186,-1.637,-1.354,-0.791,-0.189,-0.566,-1.032
1,35,32.9,38.6,0,-5.45,-3.309,-2.068,-1.335,-0.733,-1.127,-1.76
1,36,32,37.4,0,-4.937,-3.023,-1.875,-1.289,-0.673,-1.051,-1.672
1,37,31.1,37,0,-4.838,-2.815,-1.731,-1.176,-0.559,-0.944,-1.523
1,38,35.7,42.8,0,-5.317,-3.308,-2.101,-1.466,-0.853,-1.239,-1.924
1,39,27.8,33.3,0.016,-4.658,-2.564,-1.699,-1.057,-0.487,-0.9,-1.447
1,40,27.4,30.5,0.025,-3.587,-2.527,-1.519,-1.007,-0.449,-0.822,-1.372
1,41,26.5,30.2,0,-4.2,-2.562,-1.567,-1.038,-0.423,-0.808,-1.336
1,42,28.5,31.4,0,-4.099,-2.603,-1.586,-1.092,-0.479,-0.858,-1.409
1,43,30.6,33.5,0,-4.481,-2.883,-1.776,-1.171,-0.577,-0.955,-1.544
1,44,33.1,35.3,0.015,-4.261,-3.003,-1.833,-1.144,-0.672,-1.021,-1.66
1,45,32,36.1,0,-4.361,-2.898,-1.9,-1.172,-0.666,-1.007,-1.639
1,46,26.1,36.1,0,-4.688,-2.748,-1.869,-1.165,-0.554,-0.92,-1.501
1,47,25.5,36.2,0,-4.627,-2.721,-1.961,-1.126,-0.516,-0.854,-1.436
1,48,22.6,29,0,-3.644,-2.356,-1.748,-0.991,-0.39,-0.741,-1.271
1,49,18.4,22,0,-3.044,-1.863,-1.346,-0.749,-0.138,-0.48,-0.927
1,50,21.3,25.8,0,-2.968,-2.017,-1.597,-0.922,-0.32,-0.648,-1.167
1,51,22.6,25.9,0,-3.107,-2.125,-1.726,-0.947,-0.343,-0.68,-1.206
1,52,19.9,22.6,0,-2.423,-1.77,-1.461,-0.849,-0.251,-0.597,-1.086
1,53,23.8,28,0,-2.71,-2.041,-1.808,-1.015,-0.433,-0.774,-1.321
1,54,24.7,28.4,0,-3.143,-2.27,-1.931,-1.086,-0.493,-0.822,-1.398
1,55,25.3,29.9,0,-3.055,-2.245,-1.922,-1.05,-0.49,-0.808,-1.396
1,56,26.3,30.4,0,-3.16,-2.39,-1.964,-1.114,-0.52,-0.851,-1.441
1,57,26.3,30.2,0,-3.146,-2.325,-1.968,-1.125,-0.535,-0.872,-1.462
1,58,28.4,32,0,-4.311,-2.81,-2.048,-1.214,-0.618,-0.936,-1.553
1,59,31.2,37.3,0,-4.27,-3.081,-2.061,-1.252,-0.741,-1.062,-1.723
1,60,31,37.9,0.002,-4.039,-3.051,-2.065,-1.247,-0.752,-1.063,-1.732
1,61,27.4,33.3,0,-3.313,-2.44,-1.975,-1.187,-0.589,-0.89,-1.516
1,62,26.3,31.3,0,-2.793,-2.077,-1.867,-1.136,-0.536,-0.829,-1.444
1,63,34.7,37.7,0,-5.729,-3.35,-2.06,-1.238,-0.764,-1.112,-1.776
1,64,36.5,39.9,0,-4.86,-3.324,-2.14,-1.295,-0.831,-1.15,-1.85
1,65,29.6,37.3,0,-5.79,-3.439,-2.292,-1.428,-0.893,-1.177,-1.889
1,66,34.1,39.5,0,-6.375,-3.55,-2.26,-1.455,-0.987,-1.281,-2.028
1,67,37.8,43,0,-6.548,-3.657,-2.321,-1.456,-0.981,-1.336,-2.075
1,68,26.8,32.1,0,-3.615,-2.645,-2.046,-1.142,-0.559,-0.898,-1.494
1,69,30,40.6,0,-4.354,-3.145,-2.422,-1.385,-0.782,-1.122,-1.798
1,70,31.5,38.8,0,-4.044,-2.878,-2.31,-1.364,-0.764,-1.106,-1.774
1,71,34.6,43.7,0,-4.784,-3.347,-2.554,-1.53,-0.929,-1.264,-1.988
1,72,33.3,39.1,0,-4.477,-3.179,-2.487,-1.456,-0.851,-1.207,-1.898
1,73,30.5,35,0,-4.46,-2.989,-2.198,-1.304,-0.704,-1.038,-1.682
1,74,29.8,33.3,0,-4.142,-2.835,-2.123,-1.285,-0.692,-1.006,-1.644
1,75,32.2,37.6,0,-4.003,-2.842,-2.258,-1.38,-0.779,-1.117,-1.789
1,76,30.6,34.5,0,-4.193,-2.899,-2.187,-1.357,-0.764,-1.07,-1.734
1,77,33.9,39.2,0,-3.912,-2.861,-2.339,-1.557,-0.885,-1.217,-1.926
1,78,32.8,37,0,-4.132,-2.892,-2.185,-1.441,-0.853,-1.162,-1.859
1,79,31.2,36.3,0,-4.214,-2.982,-2.126,-1.376,-0.798,-1.093,-1.778
1,80,33.1,38.1,0,-4.567,-3.083,-2.189,-1.459,-0.874,-1.173,-1.88
1,81,34.4,41.1,0,-5.707,-3.451,-2.32,-1.517,-0.973,-1.251,-1.983
1,82,38.6,46.6,0,-6.885,-3.846,-2.508,-1.743,-1.139,-1.448,-2.24
1,83,42.1,48,0,-5.32,-3.698,-2.58,-1.811,-1.224,-1.534,-2.359
1,84,38.2,43.6,0,-4.987,-3.392,-2.404,-1.652,-1.092,-1.382,-2.161
1,85,35.3,39.4,0,-4.16,-2.996,-2.314,-1.517,-0.941,-1.255,-1.983
1,86,38.5,43.6,0,-4.434,-3.42,-2.71,-1.886,-1.16,-1.487,-2.295
1,87,39.5,45.8,0,-4.806,-3.495,-2.51,-1.735,-1.149,-1.463,-2.265
1,88,37.5,42.7,0,-4.381,-3.245,-2.372,-1.634,-1.053,-1.366,-2.134
1,89,36.9,41.4,0,-4.447,-3.215,-2.355,-1.604,-1.045,-1.345,-2.11
1,90,35.6,39.8,0,-4.349,-3.094,-2.224,-1.548,-0.963,-1.276,-2.012
1,91,36,44.7,0,-3.949,-3.005,-2.619,-1.633,-1.058,-1.385,-2.154
1,92,36.7,42.2,0,-4.344,-3.131,-2.383,-1.61,-1.015,-1.33,-2.085
1,93,35.5,39.5,0,-4.118,-2.993,-2.297,-1.544,-0.955,-1.273,-2.007
1,94,35.5,39.5,0,-4.03,-2.975,-2.359,-1.555,-0.967,-1.284,-2.023
1,95,35.4,40.4,0,-3.544,-2.661,-2.325,-1.487,-0.895,-1.231,-1.948
1,96,36.7,41.3,0,-4.093,-3.083,-2.509,-1.584,-0.992,-1.333,-2.081
1,97,36.8,44.1,0,-4.255,-3.299,-2.797,-1.727,-1.13,-1.475,-2.452
1,98,34.5,40,0,-3.43,-2.565,-2.298,-1.447,-0.859,-1.2,-1.906
1,99,39.3,43.3,0,-4.049,-3.037,-2.538,-1.566,-0.968,-1.332,-2.068
1,100,36.2,42.4,0,-3.983,-2.958,-2.467,-1.525,-0.929,-1.279,-2.003
1,101,37.6,46.1,0,-4.396,-3.251,-2.628,-1.625,-1.012,-1.362,-2.115
1,102,39.3,51.6,0,-5.322,-3.823,-2.884,-1.785,-1.176,-1.506,-2.317
1,103,37.6,42.4,0,-3.84,-3.166,-2.89,-1.862,-1.229,-1.627,-2.394
1,104,39.5,43.2,0,-4.118,-3.1,-2.447,-1.699,-1.108,-1.427,-2.216
1,105,37.4,42.6,0,-4.207,-3.124,-2.484,-1.655,-1.065,-1.384,-2.158
1,106,38.6,43,0,-4.134,-3.09,-2.415,-1.654,-1.062,-1.383,-2.155
1,107,39.1,43,0,-4.322,-3.173,-2.396,-1.659,-1.067,-1.39,-2.164
1,108,39.5,44.1,0,-4.685,-3.343,-2.421,-1.704,-1.112,-1.427,-2.214
1,109,41,47.2,0,-5.131,-3.594,-2.546,-1.783,-1.188,-1.5,-2.313
1,110,44.1,51.6,0,-5.499,-3.902,-2.752,-1.937,-1.344,-1.656,-2.524
1,111,44.4,50.4,0,-5.898,-3.981,-2.713,-1.922,-1.325,-1.633,-2.492
1,112,41.9,46.8,0,-5.014,-3.601,-2.555,-1.806,-1.215,-1.524,-2.346
1,113,41.7,46.2,0,-4.661,-3.423,-2.524,-1.803,-1.213,-1.524,-2.347
1,114,44.1,48.9,0,-5.031,-3.677,-2.649,-1.906,-1.316,-1.623,-2.48
1,115,47.5,52.8,0,-5.376,-3.988,-2.837,-2.027,-1.437,-1.741,-2.642
1,116,45,49.6,0,-4.75,-3.602,-2.696,-1.945,-1.358,-1.666,-2.542
1,117,45.3,50.2,0,-5.483,-3.935,-2.749,-1.931,-1.339,-1.648,-2.514
1,118,47.1,52.4,0,-4.88,-3.723,-2.768,-2.023,-1.436,-1.745,-2.646
1,119,51.3,59.2,0.009,-6.28,-4.579,-3.103,-2.23,-1.64,-1.943,-2.913
1,120,46.7,53.2,0,-5.736,-4.084,-2.837,-2.013,-1.417,-1.723,-2.616
1,121,52.3,59,0.991,-6.547,-4.595,-3.059,-2.21,-1.648,-1.947,-2.924
1,122,53.3,57.9,0,-6.153,-4.552,-3.163,-2.279,-1.681,-1.989,-3.08
1,123,50.7,54.5,0,-5.117,-3.96,-2.914,-2.144,-1.555,-1.864,-2.807
1,124,49,53.6,0,-4.953,-3.831,-2.857,-2.085,-1.497,-1.807,-2.731
1,125,48.4,52.6,0,-5.278,-3.963,-2.852,-2.078,-1.488,-1.796,-2.713
1,126,51.2,57.3,0,-6.468,-4.529,-3.08,-2.24,-1.641,-1.946,-2.916
1,127,50.2,56.6,0,-8.545,-4.627,-3.012,-2.191,-1.59,-1.891,-2.839
1,128,49.8,56.7,0,-5.302,-4.053,-2.955,-2.161,-1.573,-1.882,-2.833
1,129,49.2,54.9,0,-5.326,-4.013,-2.894,-2.124,-1.534,-1.839,-2.773
1,130,47.5,56.8,0,-6.3,-4.459,-3.149,-2.122,-1.532,-1.848,-2.781
1,131,44.3,52.2,0,-5.623,-4.021,-2.889,-1.952,-1.352,-1.673,-2.544
1,132,42,47.6,0,-4.981,-3.664,-2.718,-1.812,-1.217,-1.539,-2.362
1,133,42.8,50.9,0,-7.893,-4.444,-3.025,-1.963,-1.359,-1.675,-2.547
1,134,43,50.5,0,-5.377,-3.798,-2.681,-1.878,-1.286,-1.597,-2.445
1,135,42.9,47.7,0,-5.09,-3.647,-2.6,-1.839,-1.245,-1.559,-2.392
1,136,41.1,45.6,0,-5.063,-3.619,-2.547,-1.78,-1.186,-1.499,-2.312
1,137,41.1,45.3,0,-5.116,-3.584,-2.525,-1.773,-1.176,-1.488,-2.297
1,138,42.7,48.3,0,-5.212,-3.658,-2.539,-1.799,-1.201,-1.513,-2.33
1,139,43.8,48.5,0,-5.34,-3.749,-2.613,-1.853,-1.258,-1.572,-2.411
1,140,47.3,50.3,0,-5.838,-3.973,-2.689,-1.934,-1.338,-1.651,-2.516
1,141,44.4,48.2,0,-5.262,-3.767,-2.647,-1.884,-1.291,-1.604,-2.454
1,142,46.9,51.2,0,-5.674,-3.998,-2.751,-1.991,-1.396,-1.71,-2.596
1,143,40.5,47.5,0,-5.781,-3.728,-2.495,-1.758,-1.158,-1.467,-2.267
1,144,40.3,48.6,0,-5.449,-3.67,-2.514,-1.773,-1.172,-1.484,-2.291
1,145,40.4,50.8,0,-5.642,-3.858,-2.604,-1.821,-1.219,-1.526,-2.347
1,146,42.2,50.6,0,-7.058,-4.055,-2.63,-1.861,-1.257,-1.565,-2.399
1,147,44.1,49.2,0,-6.452,-4.104,-2.729,-1.921,-1.322,-1.632,-2.488
1,148,47,52.7,0,-6.703,-4.346,-2.893,-2.059,-1.458,-1.768,-2.672
1,149,49.3,54.8,0,-7.106,-4.499,-2.964,-2.133,-1.532,-1.84,-2.769
1,150,47.1,51.8,0,-6.436,-4.266,-2.852,-2.037,-1.436,-1.746,-2.642
1,151,45.9,50.6,0,-6.354,-4.175,-2.8,-1.979,-1.38,-1.691,-2.568
1,152,44.6,49.5,0,-5.968,-3.98,-2.692,-1.915,-1.316,-1.623,-2.48
1,153,47,52.9,0,-7.313,-4.34,-2.856,-2.042,-1.438,-1.744,-2.639
1,154,50.6,56.1,0.963,-7.661,-4.71,-3.028,-2.157,-1.638,-1.922,-2.903
1,155,30.4,53.9,0,-5.444,-3.039,-2.214,-1.551,-0.912,-1.363,-2.025
1,156,16.6,23.1,0,-1.625,-1.012,-0.785,-0.755,-0.108,-0.211,-0.51
1,157,26.1,43.3,0,-4.28,-2.347,-1.681,-1.139,-0.51,-0.95,-1.466
1,158,21.3,36.8,0,-3.48,-1.98,-1.436,-1.033,-0.391,-0.81,-1.278
1,159,20.3,36.5,0,-3.067,-1.944,-1.447,-0.967,-0.326,-0.784,-1.24
1,160,17.7,30.8,0,-2.9,-1.702,-1.251,-0.834,-0.198,-0.641,-1.044
1,161,14.4,25.8,0,-2.188,-1.311,-0.981,-0.636,-0.022,-0.451,-0.787
1,162,12.2,22.4,0,-1.755,-1.152,-0.888,-0.544,0.087,-0.375,-0.684
1,163,25.1,39.6,0,-3.838,-2.192,-1.598,-1.067,-0.441,-0.858,-1.333
1,164,25.2,36.6,0,-4.454,-2.591,-1.839,-1.242,-0.614,-1.053,-1.621
1,165,31.4,41.5,0,-5.003,-2.88,-2.04,-1.41,-0.804,-1.184,-1.822
1,166,16.5,22.7,0,-2.397,-1.36,-0.978,-0.601,0.029,-0.418,-0.761
1,167,22.4,27.9,0,-3.546,-1.94,-1.361,-0.906,-0.276,-0.713,-1.15
1,168,12.6,21.1,0,-2.106,-1.189,-0.848,-0.517,0.114,-0.324,-0.631
1,169,12,15.6,0,-1.471,-0.955,-0.707,-0.417,0.2,-0.234,-0.512
1,170,24,29.2,0.009,-3.245,-2.099,-1.455,-0.931,-0.331,-0.765,-1.235
1,171,25.2,32.4,0,-4.109,-2.589,-1.647,-1.062,-0.443,-0.817,-1.359
1,172,18.8,25.3,0,-3.204,-1.881,-1.346,-0.758,-0.141,-0.514,-0.95
1,173,20.4,29.5,0,-3.181,-1.811,-1.285,-0.806,-0.186,-0.576,-1.024
1,174,20.4,24.7,0,-3.351,-1.881,-1.306,-0.838,-0.214,-0.65,-1.069
1,175,22.3,25.7,0,-3.859,-2.076,-1.437,-0.89,-0.261,-0.702,-1.136
1,176,28.1,35.8,0,-4.623,-2.596,-1.81,-1.203,-0.571,-1.003,-1.55
1,177,31.2,49.2,0,-5.16,-3.009,-2.188,-1.521,-0.846,-1.268,-1.902
1,178,34.3,47.1,0,-5.949,-3.303,-2.325,-1.554,-0.924,-1.382,-2.041
1,179,32.7,40.1,0,-5.488,-2.957,-2.058,-1.26,-0.638,-1.023,-1.63
1,180,38.7,51.1,0,-6.518,-3.585,-2.527,-1.641,-1.018,-1.43,-2.142
1,181,39.2,52.8,0,-5.804,-3.639,-2.572,-1.707,-1.088,-1.516,-2.25
1,182,44,61,0,-7.521,-4.079,-2.859,-1.928,-1.298,-1.742,-2.541
1,183,48.8,67.9,0,-8.395,-4.565,-3.217,-2.125,-1.495,-1.93,-2.813
1,184,44.8,53.5,0,-7.198,-4.052,-2.599,-1.881,-1.268,-1.622,-2.446
1,185,46.2,52.8,0,-6.454,-4.134,-2.73,-1.992,-1.393,-1.701,-2.582
1,186,52.4,56.5,0,-7.99,-4.581,-2.953,-2.168,-1.566,-1.875,-2.817
1,187,52,58.1,0,-8.62,-4.758,-3.099,-2.24,-1.641,-1.95,-2.911
1,188,53.5,61.4,0,-9.198,-4.991,-3.256,-2.345,-1.753,-2.05,-3.051
1,189,62.7,75.7,0.098,-10.98,-5.986,-3.961,-2.873,-2.274,-2.58,-3.758
1,190,58,65,0.862,-9.886,-5.318,-3.372,-2.398,-1.931,-2.199,-3.293
1,191,57.4,61.3,0.385,-7.5,-5.061,-3.232,-2.321,-1.849,-2.119,-3.179
1,192,44.3,50.4,0,-6.39,-3.993,-2.634,-1.88,-1.279,-1.589,-2.431
1,193,59.3,78,0,-10.044,-5.585,-3.651,-2.741,-2.137,-2.445,-3.587
1,194,72.7,83.6,0,-9.346,-5.028,-3.513,-2.427,-1.798,-2.239,-3.216
1,195,68.4,71,0,-10.716,-5.777,-3.923,-2.731,-2.104,-2.52,-3.629
1,196,79.2,83.7,0,-11.661,-6.211,-4.047,-3.073,-2.531,-2.782,-4.029
1,197,67.5,73.2,0,-11.827,-6.193,-4.009,-3.042,-2.438,-2.745,-3.992
1,198,59.3,61.9,0,-6.899,-5.063,-3.341,-2.498,-1.894,-2.216,-3.262
1,199,60.4,82.2,0,-10.494,-5.604,-3.888,-2.732,-2.103,-2.541,-3.627
1,200,50,69.1,0,-7.585,-4.216,-2.996,-1.999,-1.361,-1.844,-2.62
1,201,67.8,91.6,0,-12.459,-6.572,-4.541,-3.29,-2.66,-3.102,-4.38
1,202,53.2,77.6,0,-7.135,-3.856,-2.728,-1.898,-1.263,-1.712,-2.496
1,203,70.3,98.5,0,-11.094,-5.871,-4.071,-2.924,-2.295,-2.737,-3.886
1,204,91.2,134.2,0,-12.442,-6.584,-4.563,-3.297,-2.665,-3.108,-4.39
1,205,92.5,134.1,0,-16.155,-8.56,-5.924,-4.298,-3.669,-4.11,-5.746
1,206,91.5,124,0,-14.453,-7.657,-5.262,-3.793,-3.165,-3.606,-5.067
1,207,74.6,105.7,0,-13.073,-6.964,-4.857,-3.499,-2.869,-3.311,-4.665
1,208,75.6,104.9,0,-14.267,-7.515,-4.944,-3.742,-3.138,-3.447,-4.942
1,209,84.9,122.5,0,-14.466,-7.729,-5.395,-3.892,-3.255,-3.699,-5.197
1,210,100.2,102,0,-15.623,-7.962,-5.078,-3.951,-3.348,-3.655,-5.218
1,211,79.3,95.4,0,-13.674,-7.113,-4.608,-3.521,-2.919,-3.226,-4.642
1,212,94.7,94.4,0,-15.025,-7.656,-4.868,-3.789,-3.187,-3.493,-4.998
1,213,102.1,100,0,-16.325,-8.25,-5.222,-4.087,-3.484,-3.791,-5.401
1,214,88,90.9,0,-14.682,-7.571,-4.877,-3.748,-3.16,-3.451,-4.946
1,215,74.9,95.6,0,-13.118,-7.043,-4.669,-3.416,-2.815,-3.121,-4.504
